trade_id,city,target_date,event_ticker,market_ticker,signal_timestamp,execution_timestamp,settlement_timestamp,prediction_time,probability_age_minutes,model_probability,side,entry_price,unadjusted_entry_price,quote_source,quote_field,execution_gap_minutes,contracts,gross_cost,fees,slippage_per_contract,cash_committed,predicted_edge,lower_confidence_edge,settlement,settlement_source,execution_assumption,evidence_label,supports_profitability_claim,cash_after_settlement,gross_pnl,net_pnl
1,NYC,2025-05-05,KXHIGHNY-25MAY05,KXHIGHNY-25MAY05-B62.5,2025-05-05 14:15:00+00:00,2025-05-05 14:17:00+00:00,2025-05-12 14:00:00+00:00,2025-05-05 14:00:00+00:00,15.0,0.8498269471307706,BUY_YES,0.64,0.63,kalshi_candlestick,yes_ask_open,2.0,1,0.64,0.02,0.010000000000000009,0.66,0.18982694713077056,0.08687887424150488,0,kalshi_result,next_candle_open,historical_proxy_validated,False,999.34,-0.64,-0.66
2,NYC,2025-05-15,KXHIGHNY-25MAY15,KXHIGHNY-25MAY15-B69.5,2025-05-15 19:45:00+00:00,2025-05-15 19:46:00+00:00,2025-05-22 14:00:00+00:00,2025-05-15 19:00:00+00:00,45.0,0.7156708123451629,BUY_YES,0.32,0.31,kalshi_candlestick,yes_ask_open,1.0,1,0.32,0.02,0.010000000000000009,0.34,0.3756708123451629,0.12654520249704734,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.0,0.6799999999999999,0.6599999999999999
3,NYC,2025-05-24,KXHIGHNY-25MAY24,KXHIGHNY-25MAY24-B64.5,2025-05-24 13:30:00+00:00,2025-05-24 13:31:00+00:00,2025-05-31 14:00:00+00:00,2025-05-24 13:00:00+00:00,30.0,0.5970331875068354,BUY_YES,0.31,0.3,kalshi_candlestick,yes_ask_open,1.0,1,0.31,0.02,0.010000000000000009,0.33,0.2670331875068354,0.08660567540021376,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.67,0.69,0.6699999999999999
4,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B82.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.6329353106681761,BUY_YES,0.37,0.36,kalshi_candlestick,yes_ask_open,1.0,1,0.37,0.02,0.010000000000000009,0.39,0.2429353106681761,0.10377068194841334,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.6,0.63,0.61
5,NYC,2025-06-04,KXHIGHNY-25JUN04,KXHIGHNY-25JUN04-B86.5,2025-06-04 17:40:00+00:00,2025-06-04 17:41:00+00:00,2025-06-11 14:00:00+00:00,2025-06-04 17:00:00+00:00,40.0,0.36706468933182385,BUY_YES,0.12,0.11,kalshi_candlestick,yes_ask_open,1.0,1,0.12,0.01,0.009999999999999995,0.13,0.23706468933182384,0.0979000606120611,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1000.6,-0.12,-0.13
6,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B86.5,2025-06-05 13:05:00+00:00,2025-06-05 13:06:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,5.0,0.46757002049963475,BUY_YES,0.22,0.21,kalshi_candlestick,yes_ask_open,1.0,1,0.22,0.02,0.010000000000000009,0.24,0.22757002049963476,0.057672734877555684,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6,0.78,0.76
7,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B84.5,2025-06-05 13:45:00+00:00,2025-06-05 13:46:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 13:00:00+00:00,45.0,0.2765118358628871,BUY_YES,0.04,0.03,kalshi_candlestick,yes_ask_open,1.0,1,0.04,0.01,0.010000000000000002,0.05,0.22651183586288706,0.11287592865381323,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6,-0.04,-0.05
8,NYC,2025-06-05,KXHIGHNY-25JUN05,KXHIGHNY-25JUN05-B90.5,2025-06-05 14:35:00+00:00,2025-06-05 14:36:00+00:00,2025-06-12 14:00:00+00:00,2025-06-05 14:00:00+00:00,35.0,0.48568036985670543,BUY_YES,0.24000000000000002,0.23,kalshi_candlestick,yes_ask_open,1.0,1,0.24000000000000002,0.01999999999999998,0.010000000000000009,0.26,0.22568036985670542,0.067628668168714,0,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6,-0.24000000000000002,-0.26
9,NYC,2025-06-12,KXHIGHNY-25JUN12,KXHIGHNY-25JUN12-B87.5,2025-06-12 15:25:00+00:00,2025-06-12 15:26:00+00:00,2025-06-19 14:00:00+00:00,2025-06-12 15:00:00+00:00,25.0,0.7280932364501377,BUY_YES,0.48,0.47,kalshi_candlestick,yes_ask_open,1.0,1,0.48,0.02,0.010000000000000009,0.5,0.2280932364501377,0.0956711640230772,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.7300000000001,0.52,0.5
10,NYC,2025-06-15,KXHIGHNY-25JUN15,KXHIGHNY-25JUN15-B64.5,2025-06-15 18:05:00+00:00,2025-06-15 18:06:00+00:00,2025-06-22 14:00:00+00:00,2025-06-15 18:00:00+00:00,5.0,0.7715448480017814,BUY_YES,0.29000000000000004,0.28,kalshi_candlestick,yes_ask_open,1.0,1,0.29000000000000004,0.01999999999999996,0.010000000000000009,0.31,0.46154484800178136,0.19629490795164733,1,kalshi_result,next_candle_open,historical_proxy_validated,False,1001.6200000000001,0.71,0.69
